epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.492,0.80777,2.71802,1.44503,0.00329,0.97826,0.3441,0.17361,1.33391,3.78943,1.39027,0.00036674,0.00036674,0.00036674
2,396.635,0.48546,1.75654,1.1891,0.35443,0.56233,0.39359,0.18045,1.63231,3.42462,2.49356,0.000735297,0.000735297,0.000735297
3,581.052,0.46945,1.44444,1.15673,0.46058,0.62138,0.563,0.34748,0.62505,4.0112,0.8084,0.00108867,0.00108867,0.00108867
4,761.442,0.51405,1.37749,1.19369,0.52951,0.69619,0.70632,0.54283,0.61562,2.35419,0.93989,0.00142686,0.00142686,0.00142686
5,989.557,0.42415,1.3365,1.12958,0.42054,0.75,0.50711,0.3897,0.77251,2.6492,0.97898,0.00153497,0.00153497,0.00153497
6,1218.48,0.42742,1.25829,1.12424,0.5041,0.86957,0.68269,0.59102,0.57822,1.67519,0.78176,0.00150197,0.00150197,0.00150197
7,1430.93,0.41128,1.24128,1.08228,0.61886,0.6323,0.62325,0.2896,1.39946,2.60563,1.49979,0.00146896,0.00146896,0.00146896
8,1628.89,0.34841,1.14281,1.06684,0.69027,0.87228,0.80242,0.28112,1.72479,2.69099,1.4457,0.00143595,0.00143595,0.00143595
9,1849.48,0.32749,1.115,1.04187,0.65818,0.69928,0.72719,0.35987,1.29078,2.22832,1.38926,0.00140295,0.00140295,0.00140295
10,2099.72,0.35541,1.13133,1.06969,0.73454,0.84686,0.84008,0.74252,0.40699,1.74426,0.49179,0.00136994,0.00136994,0.00136994
11,2318.93,0.31199,0.99246,1.03653,0.5917,0.59964,0.60349,0.48105,0.59765,2.10021,0.68078,0.00133693,0.00133693,0.00133693
12,2523.4,0.31027,0.99543,1.01859,0.81897,0.875,0.81108,0.77452,0.37383,1.40036,0.52323,0.00130393,0.00130393,0.00130393
13,2737.87,0.35368,0.95096,1.06636,0.90585,0.90621,0.93385,0.9237,0.28865,1.12393,0.41425,0.00127092,0.00127092,0.00127092
14,2955.7,0.3211,0.96941,1.0298,0.72467,0.91667,0.88702,0.80126,0.37694,1.49975,0.50854,0.00123791,0.00123791,0.00123791
15,3183.5,0.28345,0.90947,1.00728,0.85207,0.91572,0.93183,0.88535,0.37319,1.18694,0.54661,0.00120491,0.00120491,0.00120491
16,3353.24,0.26915,0.85435,1.00802,0.85806,0.93569,0.94578,0.92612,0.32083,1.11503,0.50945,0.0011719,0.0011719,0.0011719
17,3527.69,0.25949,0.89903,1.00445,0.88136,0.89221,0.93242,0.90199,0.26206,1.12768,0.4106,0.00113889,0.00113889,0.00113889
18,3773.42,0.27038,0.88024,1.01179,0.71497,0.92392,0.92151,0.89104,0.24255,1.27661,0.36687,0.00110589,0.00110589,0.00110589
19,4063.48,0.25254,0.85789,0.98834,0.94955,0.93519,0.97254,0.94562,0.30632,1.04613,0.44837,0.00107288,0.00107288,0.00107288
20,4311.05,0.2406,0.84563,0.97811,0.85053,0.94346,0.98245,0.92492,0.36692,1.12775,0.50273,0.00103987,0.00103987,0.00103987
21,4622.62,0.23983,0.78411,0.98737,0.74895,0.95833,0.90756,0.88472,0.31147,1.16325,0.47249,0.00100687,0.00100687,0.00100687
22,4892.35,0.23044,0.78028,0.96883,0.8414,0.99441,0.95588,0.95046,0.25013,0.96325,0.35098,0.000973861,0.000973861,0.000973861
23,5087.21,0.27495,0.74128,1.01364,0.72882,0.73913,0.84726,0.83515,0.23839,1.6236,0.33808,0.000940855,0.000940855,0.000940855
24,5302.42,0.22234,0.72054,0.97293,0.69805,0.8913,0.91352,0.89986,0.18691,1.40955,0.28832,0.000907848,0.000907848,0.000907848
25,5610.79,0.21696,0.67949,0.97877,0.83719,0.95743,0.94017,0.90279,0.23956,1.0787,0.34667,0.000874842,0.000874842,0.000874842
26,5911.77,0.22196,0.69782,0.98861,0.79835,1,0.97194,0.97194,0.21677,0.91251,0.34207,0.000841835,0.000841835,0.000841835
27,6095.67,0.20431,0.627,0.96267,0.78022,0.91395,0.9378,0.9378,0.20285,1.04052,0.3056,0.000808828,0.000808828,0.000808828
28,6396.49,0.22097,0.67063,0.98529,0.83573,0.8194,0.92908,0.9173,0.22022,1.23793,0.31091,0.000775822,0.000775822,0.000775822
29,6730.9,0.18996,0.64985,0.96543,0.8827,0.9313,0.96623,0.96236,0.23582,0.79221,0.33002,0.000742815,0.000742815,0.000742815
30,6996.52,0.20959,0.65867,0.95899,0.94653,0.95909,0.98391,0.97863,0.27025,0.74972,0.3716,0.000709809,0.000709809,0.000709809
31,7244.93,0.18246,0.61454,0.94176,0.92532,0.9006,0.98137,0.9692,0.30773,0.84825,0.39567,0.000676802,0.000676802,0.000676802
32,7404.14,0.19917,0.63478,0.97031,0.86128,0.86212,0.95545,0.94914,0.24952,1.00008,0.36463,0.000643795,0.000643795,0.000643795
33,7562.3,0.19815,0.64154,0.96833,0.87087,0.90988,0.92631,0.83844,0.4005,1.03763,0.51935,0.000610789,0.000610789,0.000610789
34,7725.2,0.1758,0.59956,0.95846,0.90141,0.95195,0.96542,0.92846,0.28496,0.84555,0.39526,0.000577782,0.000577782,0.000577782
35,7881.01,0.19763,0.63336,0.96358,0.89191,0.97917,0.96106,0.9538,0.24152,0.80006,0.3459,0.000544776,0.000544776,0.000544776
36,8072.88,0.20873,0.55207,0.98905,0.91125,0.89805,0.94881,0.91766,0.26075,0.91221,0.35667,0.000511769,0.000511769,0.000511769
37,8319.23,0.17455,0.57817,0.94475,0.92521,0.89503,0.96468,0.94298,0.23644,0.87902,0.33365,0.000478762,0.000478762,0.000478762
38,8484.08,0.17311,0.5158,0.9754,0.8841,0.94486,0.96574,0.95873,0.21677,0.82341,0.31436,0.000445756,0.000445756,0.000445756
39,8647.34,0.15461,0.51792,0.93408,0.91422,0.97207,0.97305,0.96282,0.20098,0.69227,0.31632,0.000412749,0.000412749,0.000412749
40,8805.85,0.14679,0.51468,0.94327,0.93316,0.97917,0.97822,0.96354,0.1849,0.60772,0.31448,0.000379743,0.000379743,0.000379743
41,8964.41,0.17033,0.9071,1.03522,0.89657,0.94195,0.96275,0.96275,0.14706,0.70423,0.23738,0.000346736,0.000346736,0.000346736
42,9266.99,0.1271,0.56814,0.99492,0.90338,0.8976,0.95799,0.95799,0.12717,0.8734,0.20549,0.000313729,0.000313729,0.000313729
43,9615.85,0.08584,0.50349,0.93948,0.92799,0.95243,0.95887,0.95887,0.13274,1.17827,0.20487,0.000280723,0.000280723,0.000280723
44,9902.55,0.08112,0.48808,0.93482,0.97541,0.97811,0.96231,0.96231,0.16775,1.07642,0.24974,0.000247716,0.000247716,0.000247716
45,10096.9,0.07834,0.42526,0.93837,0.97258,0.97906,0.96013,0.96013,0.17063,0.79374,0.24865,0.00021471,0.00021471,0.00021471
46,10279.6,0.07582,0.42029,0.91744,0.97549,0.97917,0.96205,0.96205,0.18072,0.68635,0.25561,0.000181703,0.000181703,0.000181703
47,10454.7,0.07848,0.41551,0.94261,0.97405,0.97917,0.96519,0.96519,0.18636,0.65008,0.26438,0.000148696,0.000148696,0.000148696
48,10726.9,0.06254,0.38716,0.90673,0.9743,0.97917,0.96992,0.96992,0.18821,0.62121,0.26834,0.00011569,0.00011569,0.00011569
49,10966.1,0.05869,0.35946,0.92122,0.96007,0.97917,0.97075,0.97075,0.18036,0.65038,0.25985,8.26832e-05,8.26832e-05,8.26832e-05
50,11120.4,0.05704,0.34175,0.92801,0.91095,0.97917,0.97179,0.97179,0.17009,0.66085,0.24944,4.96766e-05,4.96766e-05,4.96766e-05
